begin,open,high,low,close,volume
2024-08-01 18:30:00,132.61,132.76,132.42,132.5,593490.0
2024-08-01 18:40:00,132.48,132.48,132.48,132.48,53020.0
2024-08-01 19:00:00,132.48,132.6,132.34,132.59,338460.0
2024-08-01 19:10:00,132.59,132.59,132.43,132.48,128750.0
2024-08-01 19:20:00,132.48,132.53,132.25,132.46,570630.0
2024-08-01 19:30:00,132.47,132.75,132.4,132.72,227750.0
2024-08-01 19:40:00,132.72,132.87,132.64,132.67,136180.0
2024-08-01 19:50:00,132.66,132.97,132.56,132.75,198730.0
2024-08-01 20:00:00,132.71,132.77,132.2,132.22,646910.0
2024-08-01 20:10:00,132.22,132.55,132.2,132.26,447960.0
2024-08-01 20:20:00,132.26,132.3,132.2,132.25,266250.0
2024-08-01 20:30:00,132.25,132.3,132.17,132.26,358900.0
2024-08-01 20:40:00,132.26,132.53,132.17,132.45,145470.0
2024-08-01 20:50:00,132.45,132.47,132.32,132.35,124190.0
2024-08-01 21:00:00,132.35,132.49,132.29,132.3,100670.0
2024-08-01 21:10:00,132.31,132.31,132.2,132.2,165210.0
2024-08-01 21:20:00,132.21,132.24,131.77,131.85,1438780.0
2024-08-01 21:30:00,131.86,131.88,131.51,131.73,718540.0
2024-08-01 21:40:00,131.72,132.44,131.72,131.99,1019430.0
2024-08-01 21:50:00,131.98,132.05,131.9,131.9,157060.0
2024-08-01 22:00:00,131.9,132.07,131.75,131.98,273390.0
2024-08-01 22:10:00,131.98,132.0,131.87,131.98,105910.0
2024-08-01 22:20:00,131.91,132.18,131.91,132.09,127220.0
2024-08-01 22:30:00,132.01,132.2,132.01,132.14,137240.0
2024-08-01 22:40:00,132.14,132.29,132.1,132.2,165810.0
2024-08-01 22:50:00,132.2,132.2,132.11,132.16,63680.0
2024-08-01 23:00:00,132.16,132.21,131.9,131.96,226890.0
2024-08-01 23:10:00,131.96,131.99,131.87,131.88,55500.0
2024-08-01 23:20:00,131.88,131.91,131.83,131.9,80340.0
2024-08-01 23:30:00,131.9,131.97,131.85,131.93,245450.0
2024-08-01 23:40:00,131.95,132.08,131.86,132.05,139910.0
2024-08-02 09:50:00,132.05,132.05,132.05,132.05,27640.0
2024-08-02 10:00:00,132.05,132.05,131.33,131.9,1410460.0
2024-08-02 10:10:00,131.9,131.95,131.35,131.7,635670.0
2024-08-02 10:20:00,131.68,132.36,131.64,132.09,812080.0
2024-08-02 10:30:00,132.09,132.47,131.9,132.06,526360.0
2024-08-02 10:40:00,132.06,132.6,132.05,132.23,950050.0
2024-08-02 10:50:00,132.21,132.4,132.01,132.11,439340.0
2024-08-02 11:00:00,132.11,132.38,131.97,132.13,527140.0
2024-08-02 11:10:00,132.14,132.48,132.09,132.33,284180.0
2024-08-02 11:20:00,132.33,132.35,131.54,131.89,1066630.0
2024-08-02 11:30:00,131.89,132.01,131.56,131.56,482570.0
2024-08-02 11:40:00,131.59,131.81,131.5,131.6,911720.0
2024-08-02 11:50:00,131.59,131.75,131.38,131.43,417220.0
2024-08-02 12:00:00,131.43,131.63,131.35,131.53,335040.0
2024-08-02 12:10:00,131.54,131.64,131.21,131.24,695330.0
2024-08-02 12:20:00,131.24,131.3,130.85,130.85,1460800.0
2024-08-02 12:30:00,130.86,131.07,130.7,131.07,861250.0
2024-08-02 12:40:00,131.07,131.09,130.89,130.96,390360.0
2024-08-02 12:50:00,130.96,131.14,130.89,131.12,265200.0
2024-08-02 13:00:00,131.13,131.28,130.9,130.98,406380.0
2024-08-02 13:10:00,130.98,131.2,130.92,131.01,295310.0
2024-08-02 13:20:00,131.01,131.12,130.94,131.11,167980.0
2024-08-02 13:30:00,131.11,131.35,131.09,131.35,240420.0
2024-08-02 13:40:00,131.35,131.45,131.15,131.28,301360.0
2024-08-02 13:50:00,131.28,131.29,131.06,131.11,216100.0
2024-08-02 14:00:00,131.06,131.06,130.0,130.46,2726230.0
2024-08-02 14:10:00,130.46,130.5,130.1,130.47,1195340.0
2024-08-02 14:20:00,130.48,130.64,130.06,130.23,486930.0
2024-08-02 14:30:00,130.22,130.25,130.01,130.06,394910.0
2024-08-02 14:40:00,130.06,130.3,129.77,130.25,1855010.0
2024-08-02 14:50:00,130.25,130.49,130.24,130.47,511940.0
2024-08-02 15:00:00,130.48,130.74,130.18,130.26,512590.0
2024-08-02 15:10:00,130.25,130.36,130.23,130.32,169450.0
2024-08-02 15:20:00,130.32,130.38,130.12,130.13,260150.0
2024-08-02 15:30:00,130.14,130.16,129.66,130.16,1014890.0
2024-08-02 15:40:00,130.16,130.39,130.11,130.18,664190.0
2024-08-02 15:50:00,130.19,130.5,130.14,130.43,301140.0
2024-08-02 16:00:00,130.44,130.44,130.0,130.27,530350.0
2024-08-02 16:10:00,130.27,130.46,130.27,130.44,268990.0
2024-08-02 16:20:00,130.45,130.84,130.4,130.81,628210.0
2024-08-02 16:30:00,130.8,130.94,130.56,130.66,504650.0
2024-08-02 16:40:00,130.67,130.75,130.54,130.71,164570.0
2024-08-02 16:50:00,130.73,130.98,130.71,130.82,270970.0
2024-08-02 17:00:00,130.83,130.97,130.6,130.77,337450.0
2024-08-02 17:10:00,130.78,132.19,130.77,131.39,2097340.0
2024-08-02 17:20:00,131.38,131.81,131.34,131.51,1051850.0
2024-08-02 17:30:00,131.5,131.9,131.5,131.75,569650.0
2024-08-02 17:40:00,131.75,132.4,131.75,131.98,1415040.0
2024-08-02 17:50:00,131.98,132.06,131.8,131.86,408200.0
2024-08-02 18:00:00,131.87,132.09,131.85,132.01,363530.0
2024-08-02 18:10:00,132.0,132.09,131.7,131.71,1109020.0
2024-08-02 18:20:00,131.71,131.76,131.28,131.45,1400200.0
2024-08-02 18:30:00,131.44,131.61,131.28,131.39,388920.0
2024-08-02 18:40:00,131.31,131.31,131.31,131.31,57100.0
2024-08-02 19:00:00,131.31,131.39,131.3,131.39,69320.0
2024-08-02 19:10:00,131.39,131.4,131.06,131.21,353850.0
2024-08-02 19:20:00,131.22,131.36,131.21,131.21,120930.0
2024-08-02 19:30:00,131.21,131.32,131.05,131.09,428880.0
2024-08-02 19:40:00,131.11,131.13,130.95,131.01,236190.0
2024-08-02 19:50:00,131.03,131.19,130.94,131.08,117070.0
2024-08-02 20:00:00,131.08,131.08,130.9,130.92,121770.0
2024-08-02 20:10:00,130.92,131.01,130.75,130.99,326340.0
2024-08-02 20:20:00,130.99,131.0,130.74,130.77,153270.0
2024-08-02 20:30:00,130.77,131.0,130.77,130.91,128840.0
2024-08-02 20:40:00,130.91,130.97,130.7,130.84,405100.0
2024-08-02 20:50:00,130.88,130.96,130.84,130.91,48990.0
2024-08-02 21:00:00,130.9,130.96,130.81,130.91,115050.0
2024-08-02 21:10:00,130.9,131.48,130.9,131.03,447240.0
2024-08-02 21:20:00,131.03,131.37,131.03,131.3,321400.0
2024-08-02 21:30:00,131.3,131.44,131.18,131.19,234250.0
2024-08-02 21:40:00,131.19,131.31,131.1,131.13,116380.0
2024-08-02 21:50:00,131.13,131.14,131.1,131.14,110690.0
2024-08-02 22:00:00,131.14,131.31,131.13,131.28,82130.0
2024-08-02 22:10:00,131.27,131.27,131.14,131.16,32290.0
2024-08-02 22:20:00,131.16,131.26,131.16,131.2,60720.0
2024-08-02 22:30:00,131.2,131.26,131.18,131.21,28030.0
2024-08-02 22:40:00,131.21,131.3,131.21,131.29,63020.0
2024-08-02 22:50:00,131.26,131.48,131.26,131.44,155850.0
2024-08-02 23:00:00,131.48,131.48,131.38,131.39,34350.0
2024-08-02 23:10:00,131.39,131.43,131.3,131.3,64480.0
2024-08-02 23:20:00,131.31,131.49,131.31,131.4,189400.0
2024-08-02 23:30:00,131.4,131.43,131.32,131.4,79810.0
2024-08-02 23:40:00,131.39,131.66,131.35,131.45,290820.0
2024-08-05 09:50:00,129.05,129.05,129.05,129.05,207560.0
2024-08-05 10:00:00,129.06,130.45,128.7,130.34,4103690.0
2024-08-05 10:10:00,130.34,130.54,129.69,130.05,2218490.0
2024-08-05 10:20:00,130.05,130.51,129.78,129.78,1662020.0
2024-08-05 10:30:00,129.79,130.2,129.5,129.87,928760.0
2024-08-05 10:40:00,129.88,130.21,129.52,129.52,1088630.0
2024-08-05 10:50:00,129.51,129.64,129.24,129.36,1355320.0
2024-08-05 11:00:00,129.36,129.78,129.32,129.7,794050.0
2024-08-05 11:10:00,129.7,130.0,129.69,129.77,754860.0
2024-08-05 11:20:00,129.76,129.83,129.61,129.65,442860.0
2024-08-05 11:30:00,129.66,129.87,129.62,129.87,498070.0
